	mH1	mH2	mHD	mAD	mHDp	alpha	R11	R12	R13	R21	R22	R23	R31	R32	R33	vs	v	L1	L2	L3	L4	L5	L6	L7	L8	m11sq	m22sq	mssq	S	STU_chisq	T	U	b_AD_WpHDm	b_AD_ZHD	b_H1_ADAD	b_H1_HDHD	b_H1_HDpHDm	b_H1_WW	b_H1_ZZ	b_H1_Zgam	b_H1_bb	b_H1_cc	b_H1_gamgam	b_H1_gg	b_H1_mumu	b_H1_ss	b_H1_tautau	b_H1_tt	b_H2_ADAD	b_H2_H1H1	b_H2_HDHD	b_H2_HDpHDm	b_H2_WW	b_H2_ZZ	b_H2_Zgam	b_H2_bb	b_H2_cc	b_H2_gamgam	b_H2_gg	b_H2_mumu	b_H2_ss	b_H2_tautau	b_H2_tt	b_HD_WpHDm	b_HD_ZAD	b_HDp_WAD	b_HDp_WHD	c_H1VV	c_H1dd_e	c_H1ll_e	c_H1uu_e	c_H2VV	c_H2dd_e	c_H2ll_e	c_H2uu_e	hb_AD_channel	hb_AD_ncombined	hb_AD_obsratio	hb_AD_result	hb_H1_channel	hb_H1_ncombined	hb_H1_obsratio	hb_H1_result	hb_H2_channel	hb_H2_ncombined	hb_H2_obsratio	hb_H2_result	hb_HD_channel	hb_HD_ncombined	hb_HD_obsratio	hb_HD_result	hb_HDp_channel	hb_HDp_ncombined	hb_HDp_obsratio	hb_HDp_result	hb_channel	hb_result	hs_chisqMass	hs_chisqMu	hs_deltaChisq	maxEV	mu_AD_WW	mu_AD_ZZ	mu_AD_bb	mu_AD_bb_VH	mu_AD_gamgam	mu_AD_tautau	mu_H1_WW	mu_H1_ZZ	mu_H1_bb	mu_H1_bb_VH	mu_H1_gamgam	mu_H1_tautau	mu_H2_WW	mu_H2_ZZ	mu_H2_bb	mu_H2_bb_VH	mu_H2_gamgam	mu_H2_tautau	mu_HD_WW	mu_HD_ZZ	mu_HD_bb	mu_HD_bb_VH	mu_HD_gamgam	mu_HD_tautau	valid_BFB	valid_Higgs	valid_STU	valid_Uni	w_AD	w_H1	w_H2	w_HD	w_HDp	x_H1_bbH	x_H1_ggH	x_H2_bbH	x_H2_ggH
0	125.09	993.45258923582389	162.44146243374223	1042.8763737064883	1274.4444599078536	1.4015424991960195	0.16844688588510326	0	0.9857107317238718	-0.9857107317238718	0	0.16844688588510326	0	1	0	1316.1746429739735	246.21965079413738	15.825187709546848	2.3837073376369902	-164.03401066868878	-35.207754416319446	-17.504649378553875	0.024942066301615939	-0.4976567173102478	7.4561710979390838	-48644.741155765194	138196.06945524717	-6518.7670197448733	0.10129588065602306	16440.968131618982	3.8254716166789136	0.0015611262478740138	0	1	0	0	0	0.20920317644365441	0.026163978400401435	0.0014747671116438826	0.59088936660101232	0.02892786005151048	0.0020284669138616791	0.077320197635628946	0.00022496767601156147	0.00022314390672743299	0.063544075259547819	0	0	4.1029198990929161e-08	0.98301640570185189	0	0.010418398599403389	0.0051439851409800508	2.2615720098245785e-08	4.5501811996297398e-07	2.2260999515288049e-08	2.707516043014193e-08	2.3312417911393e-06	2.495824910184986e-10	1.7138670444105063e-10	7.05805196693585e-08	0.0014182403152856575	0	0	0.030618565504368107	0.96938143449563186	0.16844688588510326	0.16844688588510326	0.16844688588510326	0.16844688588510326	-0.9857107317238718	-0.9857107317238718	-0.9857107317238718	-0.9857107317238718	0	0	0	1	545	1	0.022515307944748472	1	282	1	0.29144718793064128	1	0	0	0	1	0	0	0	1	282	1	6.5937420385907573e-25	871.29920875264452	785.53154687414451	391.22513403610913	0	0	0	0	0	0	0.028325228583667518	0.02807877518216113	0.028440938153635624	0.028440938153635624	0.024922032423979151	0.028462627206146132	0.016504217043787524	0.016462154467534382	0.016570892828871413	0.01657089282887142	0.050787875991950678	0.016579482837699042	0	0	0	0	0	0	0	0	0	0	337.30734687873922	0.00011559768267060825	28337.042067282815	0	658.81057407769424	0.015425704962670452	1.2418118696066363	9.3423328640453274e-05	0.12149165768957924
1	124.61456113525558	125.09	53.860541347600481	809.28692491938762	1147.4719672329106	-1.5640105992860216	0.0067856754329496116	0	-0.99997697703943089	0.99997697703943089	0	0.0067856754329496116	0	1	0	883.06155068502596	246.21965079413738	0.25810689793290498	0.94766978505893984	-54.1772467532981	-32.586661258112748	-10.755527787473973	0.019913875441848403	3.7050199689276554e-06	6.3368489824254581	-7825.1958997921492	488185.63514127774	-7764.5094634843927	-0.040425434530135813	37380.493591068393	5.589450334363673	0.010462953244387516	0	1	0	0.99999999985241173	0	2.7997579546689737e-11	3.4747311842994354e-12	1.3040234131424581e-12	8.3035614561273872e-11	4.065153973531589e-12	7.9470939885046453e-12	1.0778280548266895e-11	3.1590542861309826e-14	3.1357882310374125e-14	8.9229410240607466e-12	0	0	0	0.99999982451112279	0	3.6685557173074496e-08	4.5880762510388121e-09	2.8483772211272464e-10	1.0361747851969926e-07	5.0727464174054372e-09	4.5985208084065102e-10	1.3558754600264217e-08	3.9449996317998886e-11	3.9130182854930305e-11	1.1142994315729945e-08	0	0	0	0.10600355272154771	0.89399644727845229	0.0067856754329496116	0.0067856754329496116	0.0067856754329496116	0.0067856754329496116	0.99997697703943089	0.99997697703943089	0.99997697703943089	0.99997697703943089	0	0	0	1	269	2	2.4390776573350075	0	278	1	5.2629146269901153	0	0	0	0	1	0	0	0	1	278	0	1.6428721638136034e-06	917.71703717040157	831.94937693477368	151.61715263194552	0	0	0	0	0	0	6.3653783226832019e-15	6.3013671395595906e-15	6.4116806356340958e-15	6.4116806356340943e-15	1.5867473799549611e-13	6.4164935430970557e-15	1.7504684907020889e-07	1.7352379370460444e-07	1.7576192169779097e-07	1.7576192169779094e-07	1.9910754322298245e-07	1.7589595769647912e-07	0	0	0	0	0	0	0	0	0	0	165.10026343028758	1330.8176117045784	23231.449732778052	0	542.81687356755026	2.533607767710753e-05	0.0020292055880215174	0.54362453593080828	43.763277137864385
2	125.09	810.89989288670643	1104.835115386089	531.06058280657396	1389.9692468454284	-1.1081768671250791	0.4462937545712079	0	-0.89488652053248319	0.89488652053248319	0	0.4462937545712079	0	1	0	301.34219367295321	246.21965079413738	8.7375127039800891	10.622202804895853	33.855338300390137	-38.95055595569211	15.482869602757194	1.5802963523170477	3.4552623188867386	12.333506526135345	-421733.1997851312	345804.43229449622	-176487.19099369855	0.074380895159519525	19488.640304565884	4.1332733734759515	0.0011039118214902018	0	0	0	0	0	0.20912961549328402	0.026154778506072285	0.0015461716457266937	0.59068159545666432	0.028917688308835506	0.0023074549999686899	0.077293009964210194	0.00022488857187781287	0.0002230654438755429	0.063521731609484933	0	0	0.084342209595076101	0	0	0.5415141539114775	0.26583235235246599	1.3347212607923539e-06	3.7376035851943202e-05	1.8286397290936966e-06	1.9318332330433057e-07	0.00020884575756782698	1.9868333755072926e-08	1.4081348194003036e-08	5.6185988081856448e-06	0.10805605325475737	0	1	0.93301423663908445	0.066985763360915593	0.4462937545712079	0.4462937545712079	0.4462937545712079	0.4462937545712079	0.89488652053248319	0.89488652053248319	0.89488652053248319	0.89488652053248319	0	0	0	1	545	1	0.15804364393669276	1	390	1	13.153859312904641	0	0	0	0	1	0	0	0	1	390	0	2.1060000000001093e-25	607.8260006901105	522.0583388116105	90.494382419265662	0	0	0	0	0	0	0.19876336181370757	0.1970339527651932	0.19957531724252062	0.19957531724252062	0.19900519523748075	0.19972751333085254	0.73311466493375943	0.73188332120906541	0.73523820857231781	0.73523820857231748	0.48931091832812246	0.7352623687500166	0	0	0	0	0	0	0	0	0	0	0	0.00081174105060222341	239.47723134242239	192.75459245532318	579.10324079216252	0.10828309647271457	8.7170884444492103	0.00022526174048068866	0.32725617700967252
3	125.09	319.66746083521002	1088.8902737064707	333.14392579153042	487.00231648981833	-0.92776191252549634	0.59962657905331329	0	-0.80027992958265581	0.80027992958265581	0	0.59962657905331329	0	1	0	452.76763131368966	246.21965079413738	1.1723343229547352	6.5503372808080806	29.674144426789301	13.564311354268769	17.727221707128066	0.228114131271238	0.37251219247428596	-8.712007806209229	-73718.0918022572	230661.25076268375	-34673.141824772414	0.069632564048528731	3307.1635433172901	-1.5540153407123007	-0.0070722539962786279	0	0	0	0	0	0.20947170232576603	0.026197561568204863	0.0011871976566417918	0.59164781153045465	0.028964990841157091	0.0010369679643898273	0.077419443137672017	0.00022525643665408389	0.00022343032644347373	0.063625638212616228	0	0	0.17339530633324318	0	0	0.56936637209354846	0.25596370328564205	3.9700091455009299e-05	0.00040746113686325496	1.9938332066939963e-05	8.5648143675889715e-06	0.00057390615715700551	1.8527765345586158e-07	1.5367519576779296e-07	5.2386798533196635e-05	0.0001723220042742173	0.57828037241566277	0.42171962758433718	1	0	0.59962657905331329	0.59962657905331329	0.59962657905331329	0.59962657905331329	0.80027992958265581	0.80027992958265581	0.80027992958265581	0.80027992958265581	0	0	0	1	545	1	0.28535600016726309	1	458	1	12.871983757786015	0	0	0	0	1	0	0	0	1	458	0	2.1761209693531647e-25	499.11198042126688	413.34431854276687	109.98443225671105	0	0	0	0	0	0	0.35939024794583585	0.3562632493829524	0.36085836993883974	0.36085836993883968	0.1614420432082552	0.36113356044388484	0.52996262801639038	0.5288678064075899	0.53293350387626526	0.53293350387626526	0.50618537291978105	0.5325879903520222	0	0	0	0	0	0	0	0	0	0	0	0.0014629443891848194	8.0962050541395527	727.34093254392519	3.4893297085254624	0.19547030830000892	15.7358998885324	0.012115350590187706	6.0376131875003907
4	125.09	737.9125456488606	782.44767676515414	1068.3145466658461	1173.6576583844271	-0.53230762629143524	0.86163819223795346	0	-0.50752302970102892	0.50752302970102892	0	0.86163819223795346	0	1	0	1401.7173481244688	246.21965079413738	2.5051578201863949	14.611906324500097	308.50777649868013	-16.518579066028547	-8.7270814790486853	0.20780082402173222	0.67010729634451149	-8.3043840423897066	-734253.75879043236	184241.35020951057	-224457.05825023528	0.018786778990226991	488.04403017846869	0.69956832333967234	-0.00019074141026485407	0	1	0	0	0	0.20950682817401933	0.02620195457958556	0.001145608128332366	0.591747023648447	0.028969847916655349	0.00091124266133973898	0.077432425433520635	0.00022529420940965966	0.00022346779298265158	0.0636363074557076	0	0	0.18295753712533183	0	0	0.47363977555775538	0.23168548003987866	2.0725959707118391e-06	4.0574907688918265e-05	1.9851839616247751e-06	1.0159907195007938e-07	0.0002327768973449739	2.125044053612373e-08	1.5288197041914999e-08	6.0094112466115484e-06	0.11143365014311181	0	0	0.008412120273013371	0.99158787972698659	0.86163819223795346	0.86163819223795346	0.86163819223795346	0.86163819223795346	0.50752302970102892	0.50752302970102892	0.50752302970102892	0.50752302970102892	0	0	0	1	545	1	0.58923246505286897	1	390	1	3.0565011419698105	0	0	0	0	1	0	0	0	1	390	0	2.1060000000002117e-25	253.7988338864933	168.03117200799329	626.49530287838945	0	0	0	0	0	0	0.74221074886287997	0.73575288875588918	0.74524270626872946	0.74524270626872935	0.2929364949949409	0.74581102817506095	0.21032081617905216	0.21028646324900344	0.2107580611865118	0.21075806118651177	0.12124888051447941	0.21105355093877762	0	0	0	0	0	0	0	0	0	0	33.81410827925442	0.0030202516435140457	65.534645466100514	0	85.773384990937785	0.40361651613729838	32.492244712413232	0.00011669416125641488	0.17686200780536274
5	125.09	203.80059184901444	151.94308069011774	1403.9211884210581	1321.1878148849903	0.33055640372166928	0.94586189835040635	0	0.3245693596890587	-0.3245693596890587	0	0.94586189835040635	0	1	0	751.77586722581225	246.21965079413738	0.30309059173433311	3.7177497642169826	219.15090952931419	-24.693029264764547	-32.130909578636633	0.06866570966638047	-0.042934735041585313	-18.689604658977625	2945.3470616252671	383995.587254957	-18102.354818664815	-0.014112725293298763	2697.3487955211194	-1.4614209304368941	-0.0016800730264655147	6.5927094843361742e-05	0.99993407290515657	0	0	0	0.20932269864752828	0.026178926435195576	0.0013530819429048678	0.59122695420624083	0.028944387150407765	0.0015808323827415599	0.077364372301532605	0.00022509620480779858	0.00022327139356566593	0.063580379335075043	0	0	0	0	0	0.73110715039957475	0.26503033372912249	0.00015226916100361077	0.0023624590068749441	0.00011561396264933171	3.4725555758255392e-05	0.00091640070834685171	9.8760798092126418e-07	8.9148183677359077e-07	0.00027916838685218852	0	0	0	0	1	0.94586189835040635	0.94586189835040635	0.94586189835040635	0.94586189835040635	-0.3245693596890587	-0.3245693596890587	-0.3245693596890587	-0.3245693596890587	0	0	0	1	545	1	0.70996502145315477	1	1169	1	2.0186936848947035	0	0	0	0	1	0	0	0	1	1169	0	2.1060000000001864e-25	125.70050724336302	39.932845364863027	420.09487737343869	0	0	0	0	0	0	0.89361605698722246	0.88584084287960474	0.89726651048189277	0.89726651048189254	0.61239387984384497	0.89795076570429888	0.10513921370667427	0.10582054224468468	0.10473608289238477	0.10473608289238481	0.071395702821604692	0.10490500420469134	0	0	0	0	0	0	0	0	0	0	865.14354944663307	0.003642760066888239	0.15927871039486191	0	718.7961588417545	0.48637865831836929	39.154825823826755	0.011001434104920767	1.8930108724577415
6	125.09	297.2582238552468	110.98262153765523	1262.06870536987	1436.273280262634	-0.91733402205126036	0.6079390575924617	0	-0.79398369142797232	0.79398369142797232	0	0.6079390575924617	0	1	0	248.69667551908719	246.21965079413738	1.0142455958456742	13.492887035820058	39.09145186506133	-41.577963687884207	-26.070487582745656	0.68750511909689871	0.57319528379107754	14.614802277243079	-48469.94613670226	425975.54429605714	-38635.837138460265	0.012913575367560907	13675.849539990633	3.4311940525170974	0.0018549507009526867	0	1	0	0	0	0.20914391045182099	0.026156566303909556	0.0015324761668109462	0.59072197122503989	0.028919664964099683	0.0022530593523824105	0.077298293292303324	0.00022490394403255456	0.00022308069141120974	0.063526073608189487	0	0	0.0074282994656240733	0.97343923053644066	0	0.013240006033128153	0.005863762980026551	1.1496844943719509e-06	1.1760492505290569e-05	5.7548369689215056e-07	2.5683945614119573e-07	1.2745160485880899e-05	5.2777224463072765e-09	4.4358733208227674e-09	1.4922198446109563e-06	7.113907016870241e-07	0	0	0.0084120707957610549	0.99158792920423899	0.6079390575924617	0.6079390575924617	0.6079390575924617	0.6079390575924617	0.79398369142797232	0.79398369142797232	0.79398369142797232	0.79398369142797232	0	0	0	1	545	1	0.29326391408078745	1	282	1	1.2270651777560522	0	0	0	0	1	0	0	0	1	282	0	2.17612096935319e-25	402.94191163500392	317.17424975650391	122.27593825894405	0	0	0	0	0	0	0.36884550202882571	0.36563623477307095	0.37035224907230907	0.3703522490723089	0.3605639308165583	0.37063467960726953	0.012069486528413687	0.012051725515248966	0.012112375580507553	0.012112375580507548	0.011785276206231274	0.01211225538356134	0	0	0	0	0	0	0	0	0	0	634.22595435321716	0.0015061433109780551	260.15531912297354	0	953.90062155380213	0.20092738842728639	16.175209916297543	0.015913767745576457	6.3012178863237596
7	125.09	148.44809097919051	836.24501031016337	100.57149499721018	750.87830293505635	-0.9540892904578826	0.57835194294063452	0	-0.81578736818903552	0.81578736818903552	0	0.57835194294063452	0	1	0	409.15173330132421	246.21965079413738	0.32824665320922358	5.746154862236966	33.257104972711019	-6.8985105819390871	11.368266164781911	0.10623736164468731	0.029923833265936017	-7.5868505899507852	-12454.533423666071	190765.81956437515	-9799.3932216271005	-0.0059954084089722552	958.30323004524394	-0.8488816282219368	-0.0029958199918337729	0	0	0	0	0	0.20928482958086089	0.026174190343425018	0.0013924208989825211	0.59111999393347014	0.028939150752569746	0.0017218750207969073	0.077350376129157114	0.00022505548211866107	0.00022323100100746514	0.063568876857611617	0	0	0	0	0	0.65754940603073919	0.082866578492847939	0.0023597673663414138	0.18956384335868104	0.0092785655542118595	0.0013414472320507301	0.035822236219889003	7.4576006854489211e-05	7.1564670090635304e-05	0.021072015068293714	0	0.00062351156515275965	0.99937648843484717	1	0	0.57835194294063452	0.57835194294063452	0.57835194294063452	0.57835194294063452	0.81578736818903552	0.81578736818903552	0.81578736818903552	0.81578736818903552	0	0	0	1	545	1	0.26543374609262116	1	1169	1	16.192886106349427	0	0	0	0	1	0	0	0	1	1169	0	2.597339978080291e-22	472.41712462473089	386.64946274623088	69.746301519734899	0	0	0	0	0	0	0.33404219020513576	0.33113574114402677	0.3354067644773493	0.33540676447734935	0.24938801527563237	0.33566254559426711	0.66516149393800472	0.67155488918354633	0.66542066335870587	0.66542066335870587	0.59943057312656511	0.66756214697364402	0	0	0	0	0	0	0	0	0	0	0	0.0013621912255771731	0.0097062320004787789	177.05094381672743	126.86907244725316	0.18184587145094436	14.639095078845084	0.20769956927670813	21.295343239077631
8	125.09	890.16661447097147	8.8599354536093458	1313.2932291720638	1065.1138157122864	-0.33713931787158158	0.94370480727688677	0	-0.3307888098507778	0.3307888098507778	0	0.94370480727688677	0	1	0	865.53698470824042	246.21965079413738	1.6600712792115584	5.9899411996771388	-42.120485481666194	-8.9752611431575637	-28.448424631802709	0.94426980080043277	1.1377828695208523	6.0806963129766274	-476507.62585933623	133536.23904695231	-388190.41812791437	0.0033368600721868868	15459.420502166571	-3.5350972229580813	-0.0055320343593235396	0.064355473931500762	0.93564452606849924	0	0.99999988722042743	0	2.3575715807269975e-08	2.9484949972619035e-09	1.8361026354040627e-10	6.6589045239832819e-08	3.2599648775914922e-09	2.9783686112599227e-10	8.7134384697571758e-09	2.5352263219096239e-11	2.5146737341948667e-11	7.1609670800498742e-09	0	0	0.16261422175268309	0.32965227816146481	0	0.30572532073056646	0.15052277962951743	5.4109597866530967e-07	1.708178212614403e-05	8.3571762368161406e-07	1.5885601511847101e-07	9.2131531581968998e-05	9.2130548716200226e-09	6.4348291080686244e-09	2.6053876795452825e-06	0.051372029706879152	0	0	0	1	0.94370480727688677	0.94370480727688677	0.94370480727688677	0.94370480727688677	0.3307888098507778	0.3307888098507778	0.3307888098507778	0.3307888098507778	0	0	0	1	277	1	4.6872561202021776	0	390	1	0.65332496832495435	1	0	0	0	1	0	0	0	1	277	0	8.9291688934684345e-14	917.71715406568126	831.94949218718136	145.41628166338944	0	0	0	0	0	0	1.0018815946775922e-07	9.9316437899173858e-08	1.0059743167587815e-07	1.0059743167587812e-07	1.1485246916596971e-07	1.0067414725277837e-07	0.055512027575049368	0.055566238912278063	0.055783766857302471	0.055783766857302491	0.042027331629376913	0.05574520765314088	0	0	0	0	0	0	0	0	0	0	782.901210914594	32195.774470844186	77.462546575958498	0	389.71206514160889	0.48416276036021516	38.976439915828905	1.8956848109078676e-05	0.026245241793433651
9	125.09	191.8070841312101	388.26518609196017	830.10085754727118	691.04611070035628	0.68600702720279361	0.77378153559594143	0	0.63345255163333802	-0.63345255163333802	0	0.77378153559594143	0	1	0	47.562834376902096	246.21965079413738	0.39804575994410663	19.780642987053902	2.7572571708529408	-1.9014242610178567	-8.8795946333905729	12.512599530410315	-0.88490635499964421	-14.409605950470249	-11064.658399857537	410265.45977017866	12670.186388384056	0.0093673655425541777	790.61094318278572	-0.7552709928347997	-0.0026506244995128277	0.06603055061528279	0.93396944938471727	0	0	0	0.20912803475244213	0.026154580810846303	0.0015476798367784928	0.59067713069197636	0.028917469729698098	0.0023134763462953063	0.077292425732190501	0.00022488687202028862	0.00022306375779843367	0.063521251469953938	0	0	0	0	0	0.7713689107298356	0.22350194724069006	0.00021217707357759136	0.0032284008973086243	0.00015799525907754693	6.5917290092488103e-05	0.0010851075328688021	1.333754231585522e-06	1.2183438305743362e-06	0.00037699187848711803	0	0	0	0	1	0.77378153559594143	0.77378153559594143	0.77378153559594143	0.77378153559594143	-0.63345255163333802	-0.63345255163333802	-0.63345255163333802	-0.63345255163333802	0	0	0	1	545	1	0.47508552462095738	1	1169	1	6.2467852821722838	0	0	0	0	1	0	0	0	1	1169	0	2.1060000000002879e-25	203.912315781964	118.144653903464	64.157472257224953	0	0	0	0	0	0	0.59748658181005798	0.5922879441359945	0.59992733582687896	0.59992733582687885	0.59977912062289052	0.60038484026709638	0.3993569491545888	0.40892713815449827	0.39759163830654887	0.39759163830654892	0.38928821357734256	0.39826103914616995	0	0	0	0	0	0	0	0	0	0	89.019322373221996	0.0024401464800586485	0.42280368670050195	0	30.845117614109608	0.3255035818517088	26.203937682012487	0.052022252526256321	8.0387003846522038
